Long Name,Wavelength,system,PL,Intensity
Units,nm,arb. u.,,arb. u.
Comments,,s0,4K_1mV,4 K
F(x)=,,,C/B*2
965,1040.47214,2066,3.97127
965.5,1045.8594,1526,2.91817
966,1050.18618,1367,2.60335
966.5,1055.58111,1304,2.47068
967,1058.23611,1432,2.70639
967.5,1061.70045,1445,2.72205
968,1065.7489,1444,2.70983
968.5,1069.8327,1466,2.74062
969,1074.08122,1542,2.87129
969.5,1077.20093,1427,2.64946
970,1079.31999,1423,2.63685
970.5,1083.64159,1350,2.4916
971,1085.69991,1361,2.50714
971.5,1090.61019,1188,2.1786
972,1095.20013,1170,2.1366
972.5,1097.0382,1171,2.13484
973,1100.30448,980,1.78133
973.5,1102.79466,981,1.77912
974,1104.63766,918,1.66208
974.5,1108.46238,829,1.49577
975,1112.16008,781,1.40447
975.5,1115.4707,744,1.33397
976,1119.17382,694,1.2402
976.5,1122.35953,724,1.29014
977,1123.88884,711,1.26525
977.5,1126.55812,729,1.29421
978,1130.10828,738,1.30607
978.5,1131.44687,755,1.33457
979,1133.95916,759,1.33867
979.5,1137.05992,873,1.53554
980,1139.64143,923,1.61981
980.5,1142.55102,908,1.58943
981,1144.67982,910,1.58996
981.5,1148.24625,941,1.63902
982,1150.05234,952,1.65558
982.5,1152.05576,936,1.62492
983,1153.96269,904,1.56678
983.5,1156.06717,923,1.59679
984,1158.69643,921,1.58972
984.5,1161.22954,919,1.58281
985,1163.73186,903,1.5519
985.5,1166.66164,903,1.54801
986,1168.93868,914,1.56381
986.5,1171.11918,919,1.56944
987,1173.69461,905,1.54214
987.5,1175.91135,904,1.53753
988,1178.85134,906,1.53709
988.5,1181.13736,904,1.53073
989,1184.04875,903,1.52528
989.5,1186.10864,899,1.51588
990,1189.45116,915,1.53852
990.5,1194.04493,909,1.52256
991,1196.96568,893,1.49211
991.5,1198.04708,930,1.55253
992,1200.60971,901,1.5009
992.5,1203.50341,1079,1.7931
993,1207.18946,1064,1.76277
993.5,1209.52798,1120,1.85196
994,1212.00007,1242,2.0495
994.5,1214.21037,1315,2.16602
995,1215.59802,1441,2.37085
995.5,1218.27319,1489,2.44444
996,1220.38943,1664,2727
996.5,1221.64899,1837,3.00741
997,1224.89096,1937,3.16273
997.5,1226.08714,2078,3.38964
998,1228.11048,2207,3.59414
998.5,1230.43292,2413,3.9222
999,1232.88944,2594,4208
999.5,1235.57946,2663,4.31053
1000,1237.77504,2848,4.60181
1000.5,1240.23722,3039,4.90068
1001,1243.33066,3230,5.19572
1001.5,1245.43235,3404,5.46637
1002,1248.03291,3581,5.73863
1002.5,1251.09976,3801,6.07625
1003,1253.80403,3899,6.21947
1003.5,1256.87547,4084,6.49865
1004,1258.32237,4259,6.76933
1004.5,1261.03255,4403,6.98317
1005,1263.31287,4548,7.20012
1005.5,1266.29298,4609,7.27952
1006,1269.87396,4804,7.56611
1006.5,1272.59278,4796,7.53737
1007,1275.3137,4794,7.51815
1007.5,1278.33635,4800,7.50976
1008,1280.06245,4818,7.52776
1008.5,1282.55619,4817,7.51156
1009,1284.25193,4799,7.47361
