Baseline 100%T,,5%,,10%,,15%,,A,,A!,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,0.2184562385,1200,0.2308446616,1200,0.4290212095,1200,0.5401477814,1200,0.145055905,1200,0.1325020343,
1199,0.2183283567,1199,0.2118804753,1199,0.4143969119,1199,0.5334575176,1199,0.1450845748,1199,0.1324270219,
1198,0.2182590812,1198,0.2013445348,1198,0.3974008262,1198,0.525108099,1198,0.1452935189,1198,0.1326083541,
1197,0.2182333171,1197,0.2010555714,1197,0.3765942454,1197,0.5140911937,1197,0.1453256011,1197,0.1326629817,
1196,0.2184175849,1196,0.2124223262,1196,0.3538109958,1196,0.5009304881,1196,0.1451262981,1196,0.1323960572,
1195,0.2183500081,1195,0.2361758798,1195,0.3295648992,1195,0.4858368039,1195,0.1451708823,1195,0.1325357109,
1194,0.2183688432,1194,0.272788614,1194,0.3018864691,1194,0.4681181312,1194,0.1452911794,1194,0.132602483,
1193,0.2182614654,1193,0.32147035,1193,0.2721918523,1193,0.4477897882,1193,0.1452397704,1193,0.1326656193,
1192,0.218258217,1192,0.3793637156,1192,0.2404903024,1192,0.4256732166,1192,0.1452352256,1192,0.1325758994,
1191,0.2182298452,1191,0.4482956827,1191,0.2062549144,1191,0.3997872472,1191,0.1452121884,1191,0.1327138245,
1190,0.2183859199,1190,0.5230897665,1190,0.1715637892,1190,0.3716433942,1190,0.1452173144,1190,0.1324295551,
1189,0.2183817178,1189,0.5988273621,1189,0.1394251734,1189,0.342910111,1189,0.1452224851,1189,0.1325281709,
1188,0.2183919996,1188,0.6789059639,1188,0.1087367162,1188,0.3119626343,1188,0.1450197995,1188,0.1323989928,
1187,0.2183433771,1187,0.7580446005,1187,0.08364433795,1187,0.2807180285,1187,0.1455910206,1187,0.1326076239,
1186,0.2180377394,1186,0.8370037675,1186,0.06611083448,1186,0.2508383691,1186,0.1454036385,1186,0.1327777207,
1185,0.2182557732,1185,0.9157987237,1185,0.05794742703,1185,0.2224719077,1185,0.1451572478,1185,0.1326023191,
1184,0.2183256149,1184,0.9929143786,1184,0.06220549345,1184,0.1978384703,1184,0.1452079117,1184,0.1326584518,
1183,0.2182775587,1183,1.069576144,1183,0.08010322601,1183,0.1796281338,1183,0.1452473402,1183,0.1326327771,
1182,0.2183179557,1182,1.136629701,1182,0.1109958515,1182,0.1693383157,1182,0.1453129053,1182,0.1326577812,
1181,0.2182475626,1181,1.205749631,1181,0.1565718949,1181,0.1676480323,1181,0.1453954279,1181,0.1327144206,
