Baseline 100%T,,5%,,10%,,15%,,B,,A,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1200,69.91186523,1200,81.28781891,1200,37.20223236,1200,26.09996796,1200,77.8134079,1200,68.97222137,
1199,69.94763184,1199,85.85024261,1199,38.35323715,1199,26.36267281,1199,77.80799103,1199,68.97810364,
1198,69.9439621,1198,89.37341309,1198,39.72799301,1198,26.75835228,1198,77.80345917,1198,68.98949432,
1197,69.93121338,1197,91.37770844,1197,41.4575386,1197,27.27495956,1197,77.80503082,1197,68.97879028,
1196,69.93456268,1196,91.21147156,1196,43.48429871,1196,27.97425652,1196,77.80749512,1196,68.98339844,
1195,69.93823242,1195,88.74706268,1195,45.8045578,1195,28.77602959,1195,77.80692291,1195,68.96457672,
1194,69.92860413,1194,83.97892761,1194,48.56300354,1194,29.78647041,1194,77.77801514,1194,68.98428345,
1193,69.94394684,1193,77.36058807,1193,51.71274567,1193,31.02474785,1193,77.80249023,1193,68.96892548,
1192,69.93885803,1192,69.4933548,1192,55.3391571,1192,32.48313522,1192,77.81861877,1192,68.97650146,
1191,69.94989777,1191,60.75898361,1191,59.57616425,1191,34.24721146,1191,77.78385925,1191,68.95791626,
1190,69.95823669,1190,52.0372467,1190,64.2820816,1190,36.3144722,1190,77.76602936,1190,68.97028351,
1189,69.948349,1189,44.28949738,1189,69.13658905,1189,38.65795517,1189,77.78227234,1189,68.96136475,
1188,69.93395233,1188,37.18602753,1188,74.21260834,1188,41.39365005,1188,77.80153656,1188,68.97832489,
1187,69.95198059,1187,31.10406113,1187,78.8946991,1187,44.43733978,1187,77.74819183,1187,68.96772766,
1186,69.9515686,1186,25.93551064,1186,82.81327057,1186,47.74860382,1186,77.77359009,1186,68.95640564,
1185,69.94187164,1185,21.63297081,1185,85.32992554,1185,51.24556351,1185,77.79400635,1185,68.96138763,
1184,69.95639801,1184,18.00943375,1184,85.89663696,1184,54.79418182,1184,77.77330017,1184,68.94366455,
1183,69.9429245,1183,15.06906033,1183,84.11685944,1183,57.9925766,1183,77.77888489,1183,68.97303009,
1182,69.94316864,1182,12.79661465,1182,80.11258698,1182,60.47917557,1182,77.76101685,1182,68.97433472,
1181,69.95024109,1181,10.7756567,1181,73.99441528,1181,62.13260269,1181,77.77351379,1181,68.95669556,
1180,69.96386719,1180,9.176076889,1180,66.47132874,1180,62.51071548,1180,77.77210999,1180,68.94989014,
1179,69.9415741,1179,7.883553028,1179,58.39307404,1179,61.6356926,1179,77.78373718,1179,68.97803497,
1178,69.94396973,1178,6.768646717,1178,49.92097473,1178,59.28646469,1178,77.79532623,1178,68.94076538,
1177,69.94975281,1177,5.858818054,1177,42.09537888,1177,55.79376221,1177,77.76730347,1177,68.9747467,
1176,69.95459747,1176,5.070549011,1176,35.28853989,1176,51.46260071,1176,77.77455139,1176,69.01296234,
1175,69.93886566,1175,4.436812878,1175,29.40505791,1175,46.49266052,1175,77.78324127,1175,68.98029327,
1174,69.96077728,1174,3.888689756,1174,24.38494492,1174,41.18019867,1174,77.75810242,1174,68.95123291,
1173,69.95943451,1173,3.43759799,1173,20.27436829,1173,36.07322311,1173,77.77669525,1173,68.9553833,
1172,69.94814301,1172,3.019752264,1172,16.77974319,1172,30.90585709,1172,77.80662537,1172,68.97927094,
1171,69.94219208,1171,2.697827101,1171,13.98579884,1171,26.23037148,1171,77.81481171,1171,68.99292755,
1170,69.95304871,1170,2.412442923,1170,11.75910187,1170,22.13948441,1170,77.77330017,1170,68.96536255,
1169,69.9550705,1169,2.170084715,1169,9.887865067,1169,18.48917389,1169,77.78988647,1169,68.98526764,
1168,69.95664978,1168,1.94705987,1168,8.417901039,1168,15.45111942,1168,77.77962494,1168,68.9657135,
1167,69.96529388,1167,1.757529736,1167,7.169250488,1167,12.90631771,1167,77.7780838,1167,68.95745087,
