wavelength_nm,lamp_response,raw_pl_counts,corrected_pl_arb_u
950.0,62.57887,256.0,4090.8376901021065
951.0,91.23417,426.0,4669.303178841874
952.0,119.52673,621.0,5195.490581897455
953.0,150.4942,780.0,5182.923993084119
954.0,178.95697,937.0,5235.895533993451
955.0,205.77636,1098.0,5335.889895224116
956.0,222.14251,1235.0,5559.494218373602
957.0,237.94415,1334.0,5606.357626358958
958.0,249.21594,1402.0,5625.64336775569
959.0,254.9209,1477.0,5793.954124593159
960.0,258.03316,1553.0,6018.606290757358
961.0,261.63212,1617.0,6180.43380912099
962.0,264.62538,1769.0,6684.921907339349
963.0,265.94946,2026.0,7617.988771249997
964.0,267.14668,2395.0,8965.112349515255
965.0,268.73249,2886.0,10739.304354304164
966.0,270.83681,3431.0,12668.14507230387
967.0,272.04038,3858.0,14181.718169927566
968.0,273.4719,4175.0,15266.650796663203
969.0,273.83866,4198.0,15330.194794263163
970.0,275.50016,3950.0,14337.55973136277
971.0,275.5452,3587.0,13017.827928049552
972.0,276.91885,3196.0,11541.287276037727
973.0,277.80815,2756.0,9920.515290858097
974.0,278.8286,2388.0,8564.401212788072
975.0,279.07115,2182.0,7818.794597721764
976.0,280.4191,2130.0,7595.773611711898
977.0,280.59816,2182.0,7776.2448620475625
978.0,281.59125,2304.0,8182.072418798524
979.0,282.32524,2414.0,8550.422201004769
980.0,282.47355,2524.0,8935.349876121147
981.0,283.1767,2566.0,9061.479987583725
982.0,283.55442,2596.0,9155.209077678986
983.0,284.78223,2606.0,9150.85186319385
984.0,284.34429,2568.0,9031.304971870546
985.0,285.44366,2544.0,8912.441775725549
986.0,285.56227,2537.0,8884.226897341865
987.0,285.97602,2501.0,8745.48852033118
988.0,286.16081,2530.0,8841.182690250282
989.0,287.39621,2538.0,8831.01415985966
990.0,287.41812,2588.0,9004.303556087556
991.0,288.45913,2696.0,9346.211367967448
992.0,288.90956,2825.0,9778.14648985655
993.0,290.08499,2964.0,10217.695165820196
994.0,289.45006,3144.0,10861.977364938186
995.0,291.02338,3408.0,11710.399350045349
996.0,290.75119,3615.0,12433.311106998392
997.0,290.77579,3865.0,13292.02819808348
998.0,291.59362,4102.0,14067.523150883755
999.0,291.7512,4345.0,14892.826490516578
1000.0,291.64423,4557.0,15625.201979823156
1001.0,291.86835,4757.0,16298.444144423333
1002.0,292.45747,4932.0,16863.990514586618
1003.0,293.54514,5111.0,17411.29149676946
1004.0,294.43528,5259.0,17861.310641849715
1005.0,294.96129,5372.0,18212.559349737046
1006.0,295.98691,5461.0,18450.140244377697
1007.0,295.71623,5469.0,18494.08130219975
1008.0,296.71072,5390.0,18165.84180039063
1009.0,296.94014,5307.0,17872.289007474705
1010.0,296.70293,5197.0,17515.836463091215
1011.0,296.89932,5091.0,17147.226878121513
1012.0,297.83098,4998.0,16781.33013563599
1013.0,298.06198,4982.0,16714.64438369496
1014.0,297.55723,4985.0,16753.079735283194
1015.0,297.88884,5109.0,17150.692855764584
1016.0,298.15393,5349.0,17940.397431621983
1017.0,298.65421,5751.0,19256.383494476777
1018.0,299.39021,6409.0,21406.84560126398
1019.0,300.22813,7532.0,25087.58922756505
1020.0,300.39503,8590.0,28595.679495762626
