wavelength_nm,lamp_response,raw_pl_counts,intensity_arb_u
965.0,1040.47214,16324.0,15.68903
965.5,1045.8594,6344.0,6.06582
966.0,1050.18618,6514.0,6.20271
966.5,1055.58111,6822.0,6.46279
967.0,1058.23611,7109.0,6.71778
967.5,1061.70045,7402.0,6.97183
968.0,1065.7489,7742.0,7.26438
968.5,1069.8327,7986.0,7.46472
969.0,1074.08122,8084.0,7.52643
969.5,1077.20093,8061.0,7.48328
970.0,1079.31999,8077.0,7.48342
970.5,1083.64159,8038.0,7.41758
971.0,1085.69991,8027.0,7.39339
971.5,1090.61019,7697.0,7.05752
972.0,1095.20013,7344.0,6.70562
972.5,1097.0382,7083.0,6.45648
973.0,1100.30448,6759.0,6.14285
973.5,1102.79466,6440.0,5.83971
974.0,1104.63766,5839.0,5.2859
974.5,1108.46238,5458.0,4.92394
975.0,1112.16008,5127.0,4.60995
975.5,1115.4707,4814.0,4.31567
976.0,1119.17382,4520.0,4.03869
976.5,1122.35953,4238.0,3.77597
977.0,1123.88884,4167.0,3.70766
977.5,1126.55812,3910.0,3.47075
978.0,1130.10828,3825.0,3.38463
978.5,1131.44687,3871.0,3.42128
979.0,1133.95916,3836.0,3.38284
979.5,1137.05992,3898.0,3.42814
980.0,1139.64143,3953.0,3.46863
980.5,1142.55102,3976.0,3.47993
981.0,1144.67982,4105.0,3.58616
981.5,1148.24625,4098.0,3.56892
982.0,1150.05234,4129.0,3.59027
982.5,1152.05576,4127.0,3.58229
983.0,1153.96269,4192.0,3.6327
983.5,1156.06717,4140.0,3.58111
984.0,1158.69643,4145.0,3.5773
984.5,1161.22954,4130.0,3.55658
985.0,1163.73186,4135.0,3.55322
985.5,1166.66164,4132.0,3.54173
986.0,1168.93868,4131.0,3.53397
986.5,1171.11918,4127.0,3.52398
987.0,1173.69461,4144.0,3.53073
987.5,1175.91135,4111.0,3.49601
988.0,1178.85134,4126.0,3.50002
988.5,1181.13736,4140.0,3.5051
989.0,1184.04875,4123.0,3.48212
989.5,1186.10864,4123.0,3.47607
990.0,1189.45116,4142.0,3.48228
990.5,1194.04493,4139.0,3.46637
991.0,1196.96568,4145.0,3.46292
991.5,1198.04708,4256.0,3.55245
992.0,1200.60971,4296.0,3.57818
992.5,1203.50341,4451.0,3.69837
993.0,1207.18946,4492.0,3.72104
993.5,1209.52798,4717.0,3.89987
994.0,1212.00007,4756.0,3.92409
994.5,1214.21037,4754.0,3.9153
995.0,1215.59802,5035.0,4.14199
995.5,1218.27319,5055.0,4.14932
996.0,1220.38943,5356.0,4.38876
996.5,1221.64899,5401.0,4.42107
997.0,1224.89096,5583.0,4.55796
997.5,1226.08714,5753.0,4.69216
