wavelength_nm,lamp_response,raw_pl_counts,corrected_pl_arb_u
965.0,1040.47214,2066.0,3.97127
965.5,1045.8594,1526.0,2.91817
966.0,1050.18618,1367.0,2.60335
966.5,1055.58111,1304.0,2.47068
967.0,1058.23611,1432.0,2.70639
967.5,1061.70045,1445.0,2.72205
968.0,1065.7489,1444.0,2.70983
968.5,1069.8327,1466.0,2.74062
969.0,1074.08122,1542.0,2.87129
969.5,1077.20093,1427.0,2.64946
970.0,1079.31999,1423.0,2.63685
970.5,1083.64159,1350.0,2.4916
971.0,1085.69991,1361.0,2.50714
971.5,1090.61019,1188.0,2.1786
972.0,1095.20013,1170.0,2.1366
972.5,1097.0382,1171.0,2.13484
973.0,1100.30448,980.0,1.78133
973.5,1102.79466,981.0,1.77912
974.0,1104.63766,918.0,1.66208
974.5,1108.46238,829.0,1.49577
975.0,1112.16008,781.0,1.40447
975.5,1115.4707,744.0,1.33397
976.0,1119.17382,694.0,1.2402
976.5,1122.35953,724.0,1.29014
977.0,1123.88884,711.0,1.26525
977.5,1126.55812,729.0,1.29421
978.0,1130.10828,738.0,1.30607
978.5,1131.44687,755.0,1.33457
979.0,1133.95916,759.0,1.33867
979.5,1137.05992,873.0,1.53554
980.0,1139.64143,923.0,1.61981
980.5,1142.55102,908.0,1.58943
981.0,1144.67982,910.0,1.58996
981.5,1148.24625,941.0,1.63902
982.0,1150.05234,952.0,1.65558
982.5,1152.05576,936.0,1.62492
983.0,1153.96269,904.0,1.56678
983.5,1156.06717,923.0,1.59679
984.0,1158.69643,921.0,1.58972
984.5,1161.22954,919.0,1.58281
985.0,1163.73186,903.0,1.5519
985.5,1166.66164,903.0,1.54801
986.0,1168.93868,914.0,1.56381
986.5,1171.11918,919.0,1.56944
987.0,1173.69461,905.0,1.54214
987.5,1175.91135,904.0,1.53753
988.0,1178.85134,906.0,1.53709
988.5,1181.13736,904.0,1.53073
989.0,1184.04875,903.0,1.52528
989.5,1186.10864,899.0,1.51588
990.0,1189.45116,915.0,1.53852
990.5,1194.04493,909.0,1.52256
991.0,1196.96568,893.0,1.49211
991.5,1198.04708,930.0,1.55253
992.0,1200.60971,901.0,1.5009
992.5,1203.50341,1079.0,1.7931
993.0,1207.18946,1064.0,1.76277
993.5,1209.52798,1120.0,1.85196
994.0,1212.00007,1242.0,2.0495
994.5,1214.21037,1315.0,2.16602
995.0,1215.59802,1441.0,2.37085
995.5,1218.27319,1489.0,2.44444
996.0,1220.38943,1664.0,2727.0
996.5,1221.64899,1837.0,3.00741
997.0,1224.89096,1937.0,3.16273
997.5,1226.08714,2078.0,3.38964
998.0,1228.11048,2207.0,3.59414
998.5,1230.43292,2413.0,3.9222
999.0,1232.88944,2594.0,4208.0
999.5,1235.57946,2663.0,4.31053
1000.0,1237.77504,2848.0,4.60181
1000.5,1240.23722,3039.0,4.90068
1001.0,1243.33066,3230.0,5.19572
1001.5,1245.43235,3404.0,5.46637
1002.0,1248.03291,3581.0,5.73863
1002.5,1251.09976,3801.0,6.07625
1003.0,1253.80403,3899.0,6.21947
1003.5,1256.87547,4084.0,6.49865
1004.0,1258.32237,4259.0,6.76933
1004.5,1261.03255,4403.0,6.98317
1005.0,1263.31287,4548.0,7.20012
1005.5,1266.29298,4609.0,7.27952
1006.0,1269.87396,4804.0,7.56611
1006.5,1272.59278,4796.0,7.53737
1007.0,1275.3137,4794.0,7.51815
1007.5,1278.33635,4800.0,7.50976
1008.0,1280.06245,4818.0,7.52776
1008.5,1282.55619,4817.0,7.51156
1009.0,1284.25193,4799.0,7.47361
1009.5,1286.61585,4621.0,7.18319
1010.0,1288.18104,4623.0,7.17756
1010.5,1289.84756,4451.0,6.90159
1011.0,1291.34846,4407.0,6.82542
1011.5,1293.55181,4267.0,6.59734
1012.0,1296.95955,4193.0,6.46589
1012.5,1298.89942,4008.0,6.17138
1013.0,1300.77393,3829.0,5.88726
1013.5,1302.81712,3818.0,5.86114
1014.0,1304.25963,3641.0,5.58324
1014.5,1306.60702,3631.0,5.55791
1015.0,1308.95623,3624.0,5.53724
1015.5,1310.93879,3629.0,5.53649
1016.0,1312.88937,3653.0,5.56483
1016.5,1315.74664,3977.0,6.04524
1017.0,1318.4049,4174.0,6.33189
1017.5,1320.83038,4539.0,6.87295
1018.0,1323.66051,5134.0,7.75728
1018.5,1326.39212,5768.0,8.69728
1019.0,1328.15174,6539.0,9.84677
1019.5,1330.01354,7328.0,11.01944
1020.0,1331.60787,8285.0,12.4436
1020.5,1333.97691,9307.0,13.95376
1021.0,1336.31416,10620.0,15.89447
1021.5,1339.32635,12067.0,18.01951
1022.0,1341.97054,13773.0,20.52653
1022.5,1344.07788,14982.0,22.29335
1023.0,1346.55751,16916.0,25.12481
1023.5,1348.26379,18690.0,27.72454
1024.0,1349.70164,20489.0,30.36078
1024.5,1351.68036,22975.0,33.99472
1025.0,1353.93062,24839.0,36.69169
1025.5,1356.0476,26997.0,39.81719
1026.0,1358.50397,29119.0,42.86922
1026.5,1359.94865,30914.0,45.46348
1027.0,1361.19165,32527.0,47.79195
1027.5,1363.65294,34061.0,49.95553
1028.0,1365.57492,35479.0,51962.0
1028.5,1367.93834,36239.0,52.98338
1029.0,1369.59268,36710.0,53.60718
1029.5,1371.85793,36567.0,53.31019
1030.0,1373.07466,35792.0,52.13409
1030.5,1375.37695,34436.0,50075.0
1031.0,1377.44371,32923.0,47.80304
1031.5,1380.3601,30939.0,44.82743
1032.0,1382.26078,28559.0,41.32216
1032.5,1384.46847,26105.0,37.71122
1033.0,1386.67791,23596.0,34.03242
1033.5,1389.05895,21304.0,30674.0
1034.0,1391.23795,18385.0,26.4297
1034.5,1393.31667,15732.0,22.58209
1035.0,1395.05688,12883.0,18.4695
1035.5,1397.34291,11000.0,15.74417
1036.0,1400.14136,8641.0,12.34304
1036.5,1402.09066,6529.0,9.31324
1037.0,1403.56455,5079.0,7.23729
1037.5,1405.21001,3868.0,5.50523
1038.0,1407.02724,3104.0,4.41214
1038.5,1409187.0,2658.0,3.77239
1039.0,1411.24611,2467.0,3.4962
1039.5,1413.13616,2408.0,3.40802
1040.0,1414.99357,2411.0,3.40779
1040.5,1417.26239,2452.0,3.46019
1041.0,1418.37103,2578.0,3.63516
1041.5,1419.41217,2644.0,3.72549
1042.0,1421.61705,2822.0,3.97013
1042.5,1423.41307,3028.0,4.25456
1043.0,1423.56747,3215.0,4.51682
1043.5,1425.0575,3436.0,4.82226
1044.0,1427.26812,3619.0,5.07123
1044.5,1428.93216,3926.0,5.49501
1045.0,1432.24319,4173.0,5.82722
1045.5,1433.22457,4391.0,6.12744
1046.0,1434.48122,4581.0,6.38698
1046.5,1436.63134,4656.0,6.48183
1047.0,1437753.0,4795.0,6.67013
1047.5,1439.63131,4979.0,6.91705
1048.0,1442.26719,4988.0,6.91689
1048.5,1446.03973,4983.0,6.89193
1049.0,1448.09557,4859.0,6.71088
